stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
308,,Varoš  *,,49.039169,21.191231,2,,0,,,0,,
309,,Tulčícka  *,,49.03373,21.194269,2,,0,,,0,,
310,,Surdok,,49.034431,21.258209,1,,0,,,0,,
311,,Plachty  *,,49.027168,21.25766,1,,0,,,0,,
312,,Za Kútami  *,,49.0256,21.25318,1,,0,,,0,,
313,,Za Kalváriou,,48.981339,21.217211,1,,0,,,0,,
314,,Hôrka  *,,48.98328,21.21763,1,,0,,,0,,
315,,Záhradkárska osada  *,,48.985722,21.221109,1,,0,,,0,,
316,,Zimný štadión  *,,48.987839,21.22921,1,,0,,,0,,
319,,Centrál  *,,48.997952,21.22678,1,,0,,,0,,
320,,Grešova  *,,48.993172,21.245529,1,,0,,,0,,
321,,Na Rúrkach,,49.007801,21.21154,1,,0,,,0,,
322,,Jána Bereša  *,,49.004921,21.21489,1,,0,,,0,,
323,,Rázcestie Rúrky  *,,49.00309,21.216431,1,,0,,,0,,
324,,Vansovej,,48.99184,21.271299,1,,0,,,0,,
325,,Pod Šalgovíkom,,48.993408,21.275311,1,,0,,,0,,
326,,Hruny  *,,48.995201,21.28393,1,,0,,,0,,
327,,Sekčovská  *,,48.99403,21.27887,1,,0,,,0,,
328,,Sordok  *,,49.04427,21.216709,2,,0,,,0,,
329,,Šalgovík  *,,48.9963,21.28764,1,,0,,,0,,
330,,Divadlo J. Záborského,,48.993301,21.244101,1,,0,,,0,,
331,,Za traťou  *,,49.037048,21.28219,1,,0,,,0,,
332,,ZŠ Prostějovská,,49.015511,21.224079,1,,0,,,0,,
333,,Šalgovická  *,,49.012039,21.279449,1,,0,,,0,,
334,,Ľubotice  *,,49.011711,21.273569,1,,0,,,0,,
335,,Korabinského  *,,49.01313,21.28083,1,,0,,,0,,
336,,Jána Kostru  *,,49.013451,21.27672,1,,0,,,0,,
338,,Šebastovská  *,,49.02021,21.277,1,,0,,,0,,
339,,Vranovská  *,,49.02132,21.276279,1,,0,,,0,,
340,,Šarišské Lúky  *,,49.018028,21.271629,1,,0,,,0,,
341,,Dopravný podnik  *,,49.01062,21.257,1,,0,,,0,,
342,,Rázcestie Kúty  *,,49.008461,21.250219,1,,0,,,0,,
343,,Širpo,,49.025101,21.267111,1,,0,,,0,,
344,,Družstevná  *,,49.022949,21.26643,1,,0,,,0,,
345,,Strojnícka  *,,49.020088,21.26586,1,,0,,,0,,
346,,Ľubochnianska  *,,49.01712,21.26609,1,,0,,,0,,
348,,Pažica  *,,49.023659,21.28203,1,,0,,,0,,
350,,Nám.sv.Jakuba  *,,49.039059,21.193859,2,,0,,,0,,
351,,Medulienka   *,,49.03912,21.199539,2,,0,,,0,,
352,,Staničná  *,,49.041969,21.204041,2,,0,,,0,,
353,,Pivovar  *,,49.043369,21.20919,2,,0,,,0,,
354,,Pionierska  *,,48.968819,21.256781,1,,0,,,0,,
355,,Jesenná  *,,48.964401,21.2568,1,,0,,,0,,
356,,Jelšová  *,,48.9622,21.25873,1,,0,,,0,,
357,,Delňa,,48.96051,21.260111,1,,0,,,0,,
358,,Rázc. Cemjata  *,,48.999142,21.20495,1,,0,,,0,,
359,,ZŠ V.Šariš,,49.041649,21.20084,2,,0,,,0,,
360,,Prostějovská,,49.020729,21.224421,1,,0,,,0,,
361,,VUKOV,,49.012169,21.222361,1,,0,,,0,,
362,,Mukačevská  *,,49.011028,21.22625,1,,0,,,0,,
363,,Jazdecká  *,,49.008739,21.23325,1,,0,,,0,,
364,,Fintice,,49.060001,21.281931,2,,0,,,0,,
365,,V kopci  *,,49.055069,21.283171,2,,0,,,0,,
366,,Nám. J.Kolarčíka  *,,49.051441,21.286699,2,,0,,,0,,
367,,Červený mostík  *,,49.049099,21.28507,2,,0,,,0,,
368,,Ihrisko  *,,49.04681,21.28467,2,,0,,,0,,
369,,Gribľovec  *,,49.04026,21.28344,2,,0,,,0,,
370,,Išľa  *,,49.031921,21.280371,1,,0,,,0,,
371,,Fintická  *,,49.029308,21.279961,1,,0,,,0,,
372,,Nová  *,,49.026531,21.279499,1,,0,,,0,,
373,,Hulica  *,,48.979198,21.327681,2,,0,,,0,,
374,,Na Záhumní  *,,48.97784,21.32427,2,,0,,,0,,
375,,Pri zámočku  *,,48.97776,21.319071,2,,0,,,0,,
376,,Záhradky  *,,48.981201,21.28886,1,,0,,,0,,
378,,Múzeum Solivar *,,48.97953,21.27483,1,,0,,,0,,
379,,Bohúňova  *,,48.978748,21.27125,1,,0,,,0,,
380,,Solivarská  *,,48.97739,21.266491,1,,0,,,0,,
383,,Za traťou  *,,49.036991,21.282049,1,,0,,,0,,
384,,Sídlisko III,,49.02335,21.22843,1,,0,,,0,,
385,,Centrum,,49.016769,21.22323,1,,0,,,0,,
387,,Budovateľská,,48.976391,21.24453,1,,0,,,0,,
388,,Nižná Šebastová,,49.024849,21.286579,1,,0,,,0,,
389,,Teriakovce,,48.989868,21.311781,2,,0,,,0,,
390,,OcÚ Teriakovce  *,,48.99057,21.3088,2,,0,,,0,,
391,,Rázc.Teriakovce  *,,48.99102,21.302071,2,,0,,,0,,
394,,Na brehu  *,,48.973099,21.274599,1,,0,,,0,,
395,,Cintorín Solivar *,,48.97435,21.26902,1,,0,,,0,,
396,,Bzenov,,48.955151,21.171261,2,,0,,,0,,
397,,Rázcestie Janov  *,,48.94733,21.1689,2,,0,,,0,,
398,,OcÚ Bzenov  *,,48.9478,21.165529,2,,0,,,0,,
399,,Chatky  *,,48.976219,21.1714,1,,0,,,0,,
400,,Cemjata  *,,48.983799,21.17528,1,,0,,,0,,
401,,Školské lesy  *,,48.98748,21.1763,1,,0,,,0,,
402,,Zabíjaná  *,,48.989899,21.17993,1,,0,,,0,,
403,,Kvašná voda  *,,48.99007,21.19174,1,,0,,,0,,
404,,Vydumanec  *,,48.992729,21.197969,1,,0,,,0,,
406,,Čertov kameň  *,,48.97998,21.173929,1,,0,,,0,,
407,,Čertov kameň  *,,48.979778,21.17392,1,,0,,,0,,
408,,Garáž,,49.013351,21.26115,1,,0,,,0,,
410,,Hinrichs,,49.009289,21.2679,1,,0,,,0,,
414,,ZŠ Ľubotice,,49.017731,21.27927,1,,0,,,0,,
415,,Pod Hrádkom  *,,48.97213,21.278061,1,,0,,,0,,
416,,Pod Hrádkom  *,,48.97197,21.27824,1,,0,,,0,,
